name, method, class, x, y
car,i,0,1.0,1.0
car,i,0,0.974358974359,0.992337164751
car,i,0,0.974358974359,0.984674329502
car,i,0,0.974358974359,0.973180076628
car,i,0,0.974358974359,0.954022988506
car,i,0,0.974358974359,0.934865900383
car,i,0,0.974358974359,0.931034482759
car,i,0,0.974358974359,0.919540229885
car,i,0,0.974358974359,0.911877394636
car,i,0,0.974358974359,0.896551724138
car,i,0,0.974358974359,0.888888888889
car,i,0,0.897435897436,0.869731800766
car,i,0,0.897435897436,0.862068965517
car,i,0,0.871794871795,0.854406130268
car,i,0,0.846153846154,0.854406130268
car,i,0,0.820512820513,0.835249042146
car,i,0,0.820512820513,0.831417624521
car,i,0,0.769230769231,0.812260536398
car,i,0,0.769230769231,0.800766283525
car,i,0,0.769230769231,0.7969348659
car,i,0,0.74358974359,0.76245210728
car,i,0,0.717948717949,0.758620689655
car,i,0,0.717948717949,0.747126436782
car,i,0,0.717948717949,0.739463601533
car,i,0,0.717948717949,0.735632183908
car,i,0,0.692307692308,0.727969348659
car,i,0,0.692307692308,0.708812260536
car,i,0,0.692307692308,0.697318007663
car,i,0,0.692307692308,0.685823754789
car,i,0,0.666666666667,0.662835249042
car,i,0,0.666666666667,0.659003831418
car,i,0,0.641025641026,0.632183908046
car,i,0,0.641025641026,0.609195402299
car,i,0,0.615384615385,0.60153256705
car,i,0,0.615384615385,0.578544061303
car,i,0,0.589743589744,0.570881226054
car,i,0,0.589743589744,0.55938697318
car,i,0,0.589743589744,0.551724137931
car,i,0,0.589743589744,0.521072796935
car,i,0,0.589743589744,0.509578544061
car,i,0,0.589743589744,0.498084291188
car,i,0,0.564102564103,0.478927203065
car,i,0,0.564102564103,0.467432950192
car,i,0,0.538461538462,0.459770114943
car,i,0,0.512820512821,0.455938697318
car,i,0,0.487179487179,0.444444444444
car,i,0,0.487179487179,0.421455938697
car,i,0,0.435897435897,0.39846743295
car,i,0,0.410256410256,0.390804597701
car,i,0,0.384615384615,0.371647509579
car,i,0,0.384615384615,0.36398467433
car,i,0,0.384615384615,0.352490421456
car,i,0,0.384615384615,0.344827586207
car,i,0,0.358974358974,0.333333333333
car,i,0,0.358974358974,0.32183908046
car,i,0,0.333333333333,0.318007662835
car,i,0,0.333333333333,0.302681992337
car,i,0,0.333333333333,0.291187739464
car,i,0,0.333333333333,0.275862068966
car,i,0,0.333333333333,0.264367816092
